"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"1","Canterbury",18,586128,"Ravenswood"
"2","Hutt Valley",13,564601,"Moonshine Valley"
"3","South Canterbury",19,598900,"Marchwiel"
"4","Counties Manukau",4,526701,"Onewhero"
"5","Counties Manukau",4,525420,"Papakura North"
"6","Waitematā",2,510401,"Kauri Park"
"7","Lakes",6,538864,"Mamaku"
"8","Whanganui",11,557900,"Durie Hill"
"9","West Coast",17,585140,"Greymouth South"
"10","Area outside District Health Board",99,622000,"Oceanic-Tararua Constituency"
"11","West Coast",17,584936,"Arnold Valley"
"12","Counties Manukau",4,521302,"Runciman"
"13","Canterbury",18,594400,"St Martins"
"14","Counties Manukau",4,525101,"Leabank"
"15","Northland",1,503000,"Vinetown"
"16","Counties Manukau",4,523818,"Redoubt East"
"17","Canterbury",18,597200,"Lincoln"
"18","Nelson Marlborough",16,583900,"Isel Park"
"19","South Canterbury",19,599100,"Highfield"
"20","Northland",1,500207,"Houhora"
"21","Southern",22,603400,"Pine Hill"
"22","Southern",22,602000,"Brighton"
"23","Southern",22,612400,"Te Anau"
"24","Capital and Coast",14,566101,"Raumati Beach"
"25","Nelson Marlborough",16,581725,"Bell Island"
"26","Nelson Marlborough",16,580452,"Fairhall"
"27","Tairāwhiti",8,544600,"Gisborne Central"
"28","Bay of Plenty",7,542562,"Urewera"
"29","Canterbury",18,597742,"Rakaia"
"30","Waitematā",2,505904,"Army Bay"
"31","Canterbury",18,591900,"Papanui"
"32","Waitematā",2,506620,"Kawau"
"33","Canterbury",18,588402,"Sawyers Arms"
"34","Canterbury",18,586303,"Rangiora East"
"35","Nelson Marlborough",16,584304,"Moutere Inlet"
"36","Waitematā",2,508320,"Glenfield North"
"37","Canterbury",18,591101,"Cashmere West"
"38","Capital and Coast",14,573513,"Churton Park North"
"39","Lakes",6,540600,"Fenton"
"40","Waikato",5,528900,"Frankton Junction"
"41","Northland",1,500900,"Kerikeri"
"42","Capital and Coast",14,563704,"Peka Peka"
"43","Area outside District Health Board",99,617704,"Tidal-Eastern Bays"
"44","Nelson Marlborough",16,581721,"Saxton Island"
"45","Canterbury",18,590000,"Ilam"
"46","Nelson Marlborough",16,580600,"Severn"
"47","Waitematā",2,508803,"Unsworth Heights"
"48","Whanganui",11,556800,"Laird Park"
